case,pedestal_fraction,source_weighted_mean_radius,total_neutron_rate_n_per_s
L-mode reference,,0.332590888191374,3.150940837950319e+18
A-like pedestal scan,0.55,0.3106177661686437,3.06835165392444e+18
A-like pedestal scan,0.6000000000000001,0.33130868136215186,3.5766316667344625e+18
A-like pedestal scan,0.65,0.35241618271851466,4.1236712744519286e+18
A-like pedestal scan,0.7,0.3738366526417973,4.70895385963885e+18
A-like pedestal scan,0.75,0.3954931188235189,5.331932225533909e+18
A-like pedestal scan,0.8,0.4173272939141251,5.992030527964177e+18
A-like pedestal scan,0.85,0.43929453372872507,6.688650069340808e+18
A-like pedestal scan,0.8999999999999999,0.46136147059129634,7.421192459215132e+18
A-like pedestal scan,0.95,0.48351238576114985,8.189221358289811e+18
